71	Ellie Goulding	7,703,974,706	617,487,487	164	1	16	66	130	09/13/21
72	Cardi B	7,665,158,337	5,540,332,883	65	1	16	48	62	09/13/21
73	Charlie Puth	7,661,097,562	199,237,205	96	3	11	51	83	09/14/21
74	Harry Styles	7,591,594,633	74,326	25	1	22	24	24	09/14/21
75	Wiz Khalifa	7,569,993,387	5,787,161,949	389	1	18	103	284	09/13/21
76	Lil Wayne	7,512,400,811	10,796,250,856	452	0	18	106	289	09/14/21
77	Rauw Alejandro	7,439,808,545	1,362,802,015	159	0	24	82	123	09/14/21
78	KAROL G	7,418,862,408	463,151,868	76	1	21	50	72	09/14/21
79	Sebastian Yatra	7,325,766,235	735,624,555	98	0	25	69	90	09/14/21
80	Logic	7,312,618,344	1,702,374,573	162	1	13	120	160	09/12/21
81	Diplo	7,275,258,857	1,460,536,064	354	0	21	80	191	09/04/21
82	Migos	7,273,413,121	3,087,941,119	283	0	15	79	179	09/13/21
83	Fall Out Boy	7,263,653,078	35,132,756	191	0	15	92	164	09/04/21
84	Tyga	7,256,815,235	3,382,667,833	294	1	19	97	249	09/04/21
85	Young Thug	7,224,238,638	7,687,164,063	335	0	17	114	193	09/14/21
86	21 Savage	7,191,137,300	4,366,430,876	151	0	17	81	121	09/05/21
87	DaBaby	7,185,998,553	3,746,360,027	129	1	14	72	115	09/04/21
88	Alan Walker	7,173,596,458	1,595,520,159	128	1	16	58	104	09/06/21
89	John Mayer	7,088,840,933	444,759,346	196	0	15	110	171	09/14/21
90	Metallica	7,014,428,074	7,382,234	798	0	13	97	265	09/13/21
91	Macklemore	6,956,132,847	77,814,062	100	1	13	58	92	09/04/21
92	Sech	6,942,128,662	2,274,024,556	114	0	20	59	101	09/04/21
93	ZAYN	6,909,844,604	220,715,193	85	2	14	60	84	09/14/21
94	P!nk	6,879,470,701	512,096,371	237	0	19	78	154	09/14/21
95	DJ Snake	6,879,175,277	1,806,412,428	137	2	10	46	95	09/11/21
96	Lil Baby	6,856,889,855	5,909,830,536	164	0	16	99	150	09/08/21
97	Zedd	6,821,665,000	904,487,124	136	1	13	36	94	09/04/21
98	Lauv	6,785,249,663	112,903,416	95	1	19	58	89	09/05/21
99	Mac Miller	6,725,530,041	564,937,352	182	0	16	110	167	09/14/21
100	James Arthur	6,610,452,293	65,236,932	121	1	13	51	104	09/04/21
101	Little Mix	6,600,926,429	4,866,775	199	0	17	93	149	09/14/21
102	AC/DC	6,575,689,197	0	308	0	9	75	235	09/13/21
103	Pop Smoke	6,552,807,479	625,945,492	97	0	15	73	94	09/14/21
104	Lil Peep	6,510,062,159	262,340,096	92	0	17	79	92	09/13/21
105	Myke Towers	6,430,219,012	3,635,216,724	153	0	21	81	142	09/13/21
106	5 Seconds of Summer	6,392,550,446	466,905,487	158	1	12	89	155	09/14/21
107	Robin Schulz	6,389,860,935	296,395,690	207	0	14	46	135	09/04/21
108	Kodak Black	6,374,710,721	1,490,490,127	210	0	13	77	189	09/04/21
109	A$AP Rocky	6,374,223,308	4,460,778,180	79	0	16	67	73	09/13/21
110	A Boogie Wit da Hoodie	6,365,281,921	2,581,031,799	118	0	15	95	117	09/13/21
111	Justin Timberlake	6,218,034,947	1,790,186,964	167	1	13	64	109	09/14/21
112	Trippie Redd	6,198,478,408	2,411,172,010	184	0	20	107	170	09/04/21
113	NF	6,146,797,766	115,783,607	81	1	13	81	81	09/06/21
114	Romeo Santos	6,145,602,110	986,293,143	107	0	18	74	100	09/09/21
115	DJ Khaled	6,138,949,899	171,839,198	165	1	12	55	120	09/13/21
116	Doja Cat	6,099,909,828	1,115,286,281	79	0	17	51	70	09/14/21
117	Zara Larsson	6,093,313,702	470,543,037	83	2	12	41	77	09/13/21
118	Green Day	6,090,331,894	431,199	357	0	11	75	292	09/14/21
119	Metro Boomin	6,087,031,375	184,685,619	118	0	14	72	92	09/04/21
120	Clean Bandit	6,082,071,658	22,207,101	144	2	9	34	110	09/03/21
121	Frank Ocean	6,048,670,508	1,935,661,910	45	0	20	45	45	09/14/21
122	Bob Marley & The Wailers	5,977,486,372	44,090,856	509	0	12	71	301	09/02/21
123	Anne-Marie	5,910,826,026	721,716,853	128	3	9	39	89	09/14/21
124	Bebe Rexha	5,861,314,265	3,499,119,965	110	2	12	51	88	09/14/21
125	Tiësto	5,810,800,726	1,000,567,517	639	0	12	73	285	09/05/21
126	blackbear	5,721,416,033	1,209,608,993	156	0	8	93	136	08/18/21
127	Lewis Capaldi	5,719,371,669	0	48	2	9	28	42	09/03/21
128	Pink Floyd	5,690,416,999	0	431	0	11	91	254	09/14/21
129	Luis Fonsi	5,680,252,755	357,720,965	171	2	9	34	113	09/14/21
130	Luis Miguel	5,661,067,193	1,012,480	312	0	12	105	264	09/14/21
131	Flo Rida	5,646,199,592	1,471,338,945	219	0	11	41	93	09/04/21
132	Black Eyed Peas	5,620,845,403	62,873,368	208	0	13	41	123	09/14/21
133	Gunna	5,607,713,247	3,525,452,988	152	0	9	86	139	09/08/21
134	The Rolling Stones	5,526,614,672	5,604,271	981	0	12	60	335	09/13/21
135	Nirvana	5,493,435,084	0	291	1	9	55	228	09/11/21
136	JAY-Z	5,492,961,398	4,563,480,560	303	0	11	69	224	07/22/21
137	Elton John	5,491,282,790	309,061,413	859	0	13	47	216	09/14/21
138	Jonas Blue	5,467,927,650	96,251,650	138	0	9	32	87	05/25/21
139	Michael Bublé	5,466,610,728	263,782,821	219	0	15	83	180	09/08/21
140	YoungBoy Never Broke Again	5,408,398,265	934,631,974	260	0	6	139	257	09/14/21
141	Ty Dolla $ign	5,359,195,322	8,742,006,406	169	0	13	67	149	07/07/21
142	Russ	5,357,293,532	103,189,201	334	0	12	96	226	09/08/21
143	Fleetwood Mac	5,351,254,218	495,878	705	0	10	41	220	09/08/21
144	BLACKPINK	5,332,117,600	452,225,783	93	0	16	37	93	09/14/21
145	Bastille	5,329,613,708	140,193,041	177	1	10	67	138	09/14/21
146	Tyler, The Creator	5,323,007,017	955,156,624	153	0	13	89	109	09/14/21
147	Guns N' Roses	5,310,547,866	0	132	1	10	44	104	09/14/21
148	Childish Gambino	5,255,402,649	524,859,621	85	0	11	61	82	08/25/21
149	Britney Spears	5,245,538,436	506,075,099	290	0	13	53	171	09/14/21
150	Machine Gun Kelly	5,242,628,132	726,564,231	114	0	10	86	105	09/13/21
151	Big Sean	5,229,675,922	5,056,946,074	145	0	14	66	121	07/11/21
152	Lil Nas X	5,165,127,666	0	20	1	8	18	20	09/14/21
153	Enrique Iglesias	5,139,257,038	991,430,969	272	0	11	65	169	09/14/21
154	SZA	5,131,464,357	2,012,983,668	38	0	15	31	36	09/14/21
155	Alessia Cara	5,102,616,775	1,469,945,105	114	0	8	36	73	09/12/21
156	Reik	5,079,388,879	246,613,573	160	0	13	65	135	08/10/21
157	Skrillex	5,056,031,909	1,496,789,283	145	0	11	66	130	09/04/21
158	Usher	4,970,991,730	2,758,735,008	251	0	14	51	162	09/08/21
159	Anitta	4,969,361,066	1,091,060,859	145	0	18	72	133	09/14/21
160	Lorde	4,965,911,142	261,690,795	51	0	16	35	48	09/14/21
161	David Bowie	4,921,791,383	27,599,205	1,216	0	11	57	286	09/08/21
162	50 Cent	4,877,145,160	2,157,467,963	213	0	12	55	139	09/14/21
163	French Montana	4,873,054,883	3,046,541,784	555	1	11	50	128	05/26/21
164	Gorillaz	4,863,810,566	1,208,929	279	0	7	86	192	09/14/21
165	Olivia Rodrigo	4,860,432,872	1,460,253	37	1	12	20	33	09/14/21
166	Kid Cudi	4,859,879,895	1,019,830,860	140	0	9	79	135	09/02/21
167	Hozier	4,855,407,685	0	61	1	13	40	60	09/10/21
168	$uicideboy$	4,848,891,935	170,297,198	299	0	6	101	296	09/06/21
169	Becky G	4,782,202,331	1,147,071,219	86	0	11	47	83	09/13/21
170	Camilo	4,776,397,366	665,322,950	35	0	16	31	33	09/11/21
171	Banda MS de Sergio Lizárraga	4,767,048,535	1,067,799	208	0	13	86	185	07/29/21
172	Foo Fighters	4,740,065,248	0	234	0	11	71	160	09/14/21
173	The Killers	4,737,438,696	3,268,793	205	1	8	66	129	09/05/21
174	Tory Lanez	4,729,346,280	2,078,489,724	215	0	13	76	182	09/03/21
175	Meek Mill	4,692,324,613	1,670,524,888	423	0	7	85	171	08/27/21
176	blink-182	4,680,595,149	49,942,325	185	0	9	82	171	09/02/21
177	Mariah Carey	4,672,936,488	314,523,705	628	0	10	63	222	09/11/21
178	Rae Sremmurd	4,624,964,864	501,728,966	60	0	12	41	59	09/03/21
179	Daft Punk	4,619,716,379	2,873,482,403	181	0	9	73	132	09/08/21
180	U2	4,617,765,723	253,588,556	498	0	6	74	293	09/14/21
181	Meghan Trainor	4,613,580,132	913,531,470	134	0	10	52	102	09/13/21
182	John Legend	4,606,523,371	2,143,196,524	241	1	6	59	179	09/02/21
183	6ix9ine	4,579,925,188	999,219,435	58	0	16	36	53	09/11/21
184	Mumford & Sons	4,577,500,479	14,602,272	121	0	7	66	109	09/13/21
185	Led Zeppelin	4,570,243,607	0	240	0	10	61	185	09/13/21
186	Gucci Mane	4,569,678,976	4,623,734,077	2,177	0	5	74	291	09/06/21
187	Rita Ora	4,566,906,199	665,530,529	125	0	12	36	81	09/14/21
188	The 1975	4,519,631,684	134,371,365	132	0	10	75	129	09/14/21
189	Luke Combs	4,432,781,787	121,174,827	55	0	10	53	55	09/03/21
190	Marília Mendonça	4,420,696,294	1,120,109,803	97	0	12	78	96	09/12/21
191	Manuel Turizo	4,411,828,012	2,065,750,230	55	0	15	38	55	08/22/21
192	Ava Max	4,392,411,519	171,164,311	95	1	11	31	64	09/14/21
193	Radiohead	4,376,899,603	126,745	222	0	7	84	195	07/15/21
194	Roddy Ricch	4,369,586,263	2,659,986,895	39	1	12	31	38	09/07/21
195	System Of A Down	4,364,583,526	414,703	83	0	9	67	78	09/14/21
196	Muse	4,353,517,557	4,754,805	242	0	9	80	174	09/04/21
197	Swae Lee	4,346,318,744	4,960,559,229	57	1	10	29	53	09/09/21
198	Hailee Steinfeld	4,345,716,828	587,113,076	29	0	10	17	26	09/14/21
199	Jack Johnson	4,316,734,962	24,912,809	179	0	5	75	163	07/26/21
200	Bazzi	4,315,244,678	57,830,205	37	0	12	32	37	09/03/21
201	The Neighbourhood	4,313,270,336	316,636	89	1	7	60	89	09/05/21
